date,facility_id,service_level,parcel_volume,weather_severity,promotion_index,holiday_flag,day_of_week,opening_backlog
2024-01-06,CENTRAL-01,standard,6359,0.0,0.086,0,5,433
2024-01-06,CENTRAL-01,priority,4331,0.213,0.037,0,5,316
2024-01-06,CENTRAL-01,economy,5244,0.123,0.187,0,5,353
2024-01-06,SOUTH-01,standard,6685,0.271,0.168,0,5,295
2024-01-06,SOUTH-01,priority,6286,0.158,0.166,0,5,321
2024-01-06,SOUTH-01,economy,5150,0.243,0.129,0,5,434
2024-01-06,SOUTH-02,standard,6362,0.0,0.046,0,5,90
2024-01-06,SOUTH-02,priority,6361,0.099,0.21,0,5,394
2024-01-06,SOUTH-02,economy,5698,0.311,0.256,0,5,513
2024-01-06,WEST-01,standard,7039,0.191,0.083,0,5,213
2024-01-06,WEST-01,priority,7160,0.073,0.121,0,5,601
2024-01-06,WEST-01,economy,5894,0.014,0.181,0,5,413
2024-01-07,NORTH-01,standard,5454,0.164,0.004,0,6,271
2024-01-07,NORTH-01,priority,4289,0.116,0.064,0,6,360
2024-01-07,NORTH-01,economy,4199,0.157,0.176,0,6,464
2024-01-07,NORTH-02,standard,6001,0.139,0.032,0,6,320
2024-01-07,NORTH-02,priority,4906,0.314,0.181,0,6,369
2024-01-07,NORTH-02,economy,4450,0.414,0.316,0,6,332
2024-01-07,CENTRAL-01,standard,6032,0.309,0.082,0,6,357
2024-01-07,CENTRAL-01,priority,4689,0.218,0.083,0,6,71
2024-01-07,CENTRAL-01,economy,4805,0.046,0.113,0,6,556
2024-01-07,SOUTH-01,standard,6454,0.313,0.073,0,6,324
2024-01-07,SOUTH-01,priority,6213,0.146,0.165,0,6,325
2024-01-07,SOUTH-01,economy,5057,0.308,0.059,0,6,643
2024-01-07,SOUTH-02,standard,7111,0.207,0.265,0,6,463
2024-01-07,SOUTH-02,priority,5995,0.173,0.136,0,6,411
2024-01-07,SOUTH-02,economy,6328,0.078,0.203,0,6,413
2024-01-07,WEST-01,standard,7330,0.146,0.186,0,6,512
2024-01-07,WEST-01,priority,6056,0.0,0.123,0,6,182
2024-01-07,WEST-01,economy,5783,0.344,0.222,0,6,173
2024-01-08,NORTH-01,standard,7259,0.0,0.107,0,0,449
2024-01-08,NORTH-01,priority,4966,0.113,0.187,0,0,293
2024-01-08,NORTH-01,economy,5208,0.192,0.143,0,0,377
2024-01-08,NORTH-02,standard,6801,0.26,0.095,0,0,579
2024-01-08,NORTH-02,priority,6522,0.064,0.079,0,0,352
2024-01-08,NORTH-02,economy,5740,0.348,0.115,0,0,367
2024-01-08,CENTRAL-01,standard,6971,0.211,0.275,0,0,276
2024-01-08,CENTRAL-01,priority,5811,0.126,0.186,0,0,430
2024-01-08,CENTRAL-01,economy,4922,0.115,0.242,0,0,233
2024-01-08,SOUTH-01,standard,7608,0.0,0.084,0,0,386
2024-01-08,SOUTH-01,priority,6902,0.15,0.137,0,0,266
2024-01-08,SOUTH-01,economy,6336,0.265,0.203,0,0,436
2024-01-08,SOUTH-02,standard,7990,0.216,0.313,0,0,382
2024-01-08,SOUTH-02,priority,6690,0.09,0.067,0,0,274
2024-01-08,SOUTH-02,economy,6677,0.172,0.177,0,0,288
2024-01-08,WEST-01,standard,8194,0.288,0.209,0,0,347
2024-01-08,WEST-01,priority,7016,0.246,0.165,0,0,382
2024-01-08,WEST-01,economy,7006,0.211,0.078,0,0,215
2024-01-09,NORTH-01,standard,6011,0.34,0.25,0,1,403
2024-01-09,NORTH-01,priority,5439,0.0,0.057,0,1,214
2024-01-09,NORTH-01,economy,4525,0.266,0.31,0,1,215
2024-01-09,NORTH-02,standard,6188,0.208,0.279,0,1,395
2024-01-09,NORTH-02,priority,5046,0.399,0.018,0,1,280
2024-01-09,NORTH-02,economy,5565,0.118,0.215,0,1,133
2024-01-09,CENTRAL-01,standard,7418,0.242,0.104,0,1,327
2024-01-09,CENTRAL-01,priority,6819,0.104,0.193,0,1,438
2024-01-09,CENTRAL-01,economy,5538,0.0,0.193,0,1,374
2024-01-09,SOUTH-01,standard,7286,0.009,0.186,0,1,244
2024-01-09,SOUTH-01,priority,6495,0.266,0.169,0,1,548
2024-01-09,SOUTH-01,economy,6350,0.127,0.153,0,1,296
2024-01-09,SOUTH-02,standard,7579,0.237,0.107,0,1,570
2024-01-09,SOUTH-02,priority,7838,0.055,0.0,0,1,721
2024-01-09,SOUTH-02,economy,6342,0.131,0.0,0,1,335
2024-01-09,WEST-01,standard,8439,0.157,0.061,0,1,496
2024-01-09,WEST-01,priority,8760,0.001,0.206,0,1,463
2024-01-09,WEST-01,economy,7327,0.14,0.139,0,1,192
2024-01-10,NORTH-01,standard,5957,0.2,0.119,0,2,337
2024-01-10,NORTH-01,priority,4574,0.38,0.062,0,2,355
2024-01-10,NORTH-01,economy,4618,0.076,0.164,0,2,279
2024-01-10,NORTH-02,standard,5449,0.0,0.149,0,2,302
2024-01-10,NORTH-02,priority,4207,0.17,0.014,0,2,364
2024-01-10,NORTH-02,economy,4626,0.117,0.0,0,2,351
2024-01-10,CENTRAL-01,standard,6394,0.094,0.045,0,2,413
2024-01-10,CENTRAL-01,priority,5425,0.466,0.184,0,2,322
2024-01-10,CENTRAL-01,economy,5358,0.278,0.2,0,2,278
2024-01-10,SOUTH-01,standard,6859,0.128,0.112,0,2,565
2024-01-10,SOUTH-01,priority,6047,0.125,0.116,0,2,331
2024-01-10,SOUTH-01,economy,4650,0.294,0.0,0,2,225
2024-01-10,SOUTH-02,standard,6639,0.0,0.073,0,2,355
2024-01-10,SOUTH-02,priority,5760,0.314,0.13,0,2,345
2024-01-10,SOUTH-02,economy,5124,0.306,0.072,0,2,400
2024-01-10,WEST-01,standard,7471,0.153,0.202,0,2,488
2024-01-10,WEST-01,priority,6790,0.056,0.149,0,2,237
2024-01-10,WEST-01,economy,6231,0.0,0.205,0,2,244
2024-01-11,NORTH-01,standard,4404,0.168,0.24,0,3,132
2024-01-11,NORTH-01,priority,4983,0.069,0.267,0,3,421
2024-01-11,NORTH-01,economy,4198,0.043,0.06,0,3,312
2024-01-11,NORTH-02,standard,5708,0.246,0.135,0,3,370
2024-01-11,NORTH-02,priority,4365,0.273,0.215,0,3,41
2024-01-11,NORTH-02,economy,4011,0.3,0.245,0,3,77
2024-01-11,CENTRAL-01,standard,6936,0.192,0.224,0,3,450
2024-01-11,CENTRAL-01,priority,5435,0.135,0.079,0,3,307
2024-01-11,CENTRAL-01,economy,5923,0.058,0.314,0,3,494
2024-01-11,SOUTH-01,standard,6983,0.069,0.218,0,3,442
2024-01-11,SOUTH-01,priority,6148,0.33,0.201,0,3,440
2024-01-11,SOUTH-01,economy,5109,0.221,0.007,0,3,266
2024-01-11,SOUTH-02,standard,7992,0.026,0.285,0,3,582
2024-01-11,SOUTH-02,priority,6452,0.211,0.258,0,3,397
2024-01-11,SOUTH-02,economy,5902,0.049,0.182,0,3,200
2024-01-11,WEST-01,standard,8142,0.174,0.144,0,3,531
2024-01-11,WEST-01,priority,6811,0.181,0.17,0,3,359
2024-01-11,WEST-01,economy,5937,0.05,0.138,0,3,208
2024-01-12,NORTH-01,standard,4474,0.241,0.181,0,4,299
2024-01-12,NORTH-01,priority,5050,0.299,0.235,0,4,336
2024-01-12,NORTH-01,economy,4128,0.079,0.063,0,4,349
2024-01-12,NORTH-02,standard,5586,0.334,0.238,0,4,198
2024-01-12,NORTH-02,priority,5022,0.142,0.167,0,4,261
2024-01-12,NORTH-02,economy,4089,0.21,0.11,0,4,340
2024-01-12,CENTRAL-01,standard,6283,0.132,0.17,0,4,231
2024-01-12,CENTRAL-01,priority,5188,0.122,0.265,0,4,81
2024-01-12,CENTRAL-01,economy,5038,0.0,0.152,0,4,317
2024-01-12,SOUTH-01,standard,6378,0.326,0.0,0,4,558
2024-01-12,SOUTH-01,priority,5678,0.045,0.12,0,4,243
2024-01-12,SOUTH-01,economy,6240,0.141,0.264,0,4,326
2024-01-12,SOUTH-02,standard,7495,0.409,0.153,0,4,393
2024-01-12,SOUTH-02,priority,7698,0.196,0.179,0,4,513
2024-01-12,SOUTH-02,economy,5742,0.095,0.228,0,4,293
2024-01-12,WEST-01,standard,7412,0.289,0.152,0,4,404
2024-01-12,WEST-01,priority,5963,0.22,0.184,0,4,438
2024-01-12,WEST-01,economy,6088,0.062,0.035,0,4,372
2024-01-13,NORTH-01,standard,4836,0.097,0.216,0,5,276
2024-01-13,NORTH-01,priority,4797,0.11,0.146,0,5,202
2024-01-13,NORTH-01,economy,3135,0.267,0.155,0,5,39
2024-01-13,NORTH-02,standard,5608,0.179,0.132,0,5,344
2024-01-13,NORTH-02,priority,4656,0.207,0.226,0,5,179
2024-01-13,NORTH-02,economy,5102,0.049,0.173,0,5,281
2024-01-13,CENTRAL-01,standard,5744,0.0,0.014,0,5,285
2024-01-13,CENTRAL-01,priority,5399,0.131,0.153,0,5,467
2024-01-13,CENTRAL-01,economy,5050,0.099,0.081,0,5,147
2024-01-13,SOUTH-01,standard,6438,0.227,0.158,0,5,563
2024-01-13,SOUTH-01,priority,6090,0.105,0.315,0,5,209
2024-01-13,SOUTH-01,economy,4861,0.188,0.064,0,5,373
2024-01-13,SOUTH-02,standard,7254,0.247,0.1,0,5,536
2024-01-13,SOUTH-02,priority,6812,0.352,0.192,0,5,158
2024-01-13,SOUTH-02,economy,5720,0.142,0.081,0,5,283
2024-01-13,WEST-01,standard,7527,0.16,0.301,0,5,455
2024-01-13,WEST-01,priority,6807,0.152,0.156,0,5,438
2024-01-13,WEST-01,economy,6321,0.32,0.282,0,5,440
2024-01-14,NORTH-01,standard,5754,0.042,0.143,0,6,456
2024-01-14,NORTH-01,priority,4895,0.205,0.221,0,6,470
2024-01-14,NORTH-01,economy,4077,0.215,0.122,0,6,0
2024-01-14,NORTH-02,standard,4720,0.226,0.0,0,6,375
2024-01-14,NORTH-02,priority,4586,0.237,0.057,0,6,482
2024-01-14,NORTH-02,economy,4709,0.122,0.329,0,6,370
2024-01-14,CENTRAL-01,standard,5521,0.374,0.16,0,6,332
2024-01-14,CENTRAL-01,priority,5243,0.176,0.041,0,6,248
2024-01-14,CENTRAL-01,economy,4648,0.291,0.153,0,6,306
2024-01-14,SOUTH-01,standard,6151,0.207,0.199,0,6,239
2024-01-14,SOUTH-01,priority,5158,0.313,0.117,0,6,387
2024-01-14,SOUTH-01,economy,5186,0.236,0.028,0,6,423
2024-01-14,SOUTH-02,standard,6396,0.225,0.201,0,6,411
2024-01-14,SOUTH-02,priority,6693,0.144,0.111,0,6,558
2024-01-14,SOUTH-02,economy,5615,0.395,0.255,0,6,390
2024-01-14,WEST-01,standard,7377,0.272,0.16,0,6,500
2024-01-14,WEST-01,priority,6533,0.173,0.092,0,6,452
2024-01-14,WEST-01,economy,6468,0.18,0.177,0,6,329
2024-01-15,NORTH-01,standard,5582,0.271,0.18,0,0,520
2024-01-15,NORTH-01,priority,4974,0.12,0.018,0,0,206
2024-01-15,NORTH-01,economy,4730,0.186,0.128,0,0,396
2024-01-15,NORTH-02,standard,6742,0.221,0.175,0,0,456
2024-01-15,NORTH-02,priority,5164,0.0,0.121,0,0,339
2024-01-15,NORTH-02,economy,5938,0.179,0.234,0,0,382
2024-01-15,CENTRAL-01,standard,6885,0.12,0.189,0,0,386
2024-01-15,CENTRAL-01,priority,6561,0.298,0.105,0,0,458
2024-01-15,CENTRAL-01,economy,6259,0.065,0.228,0,0,380
2024-01-15,SOUTH-01,standard,7205,0.089,0.081,0,0,461
2024-01-15,SOUTH-01,priority,6440,0.065,0.185,0,0,348
2024-01-15,SOUTH-01,economy,5849,0.193,0.346,0,0,532
2024-01-15,SOUTH-02,standard,7939,0.198,0.183,0,0,471
2024-01-15,SOUTH-02,priority,7215,0.162,0.266,0,0,532
2024-01-15,SOUTH-02,economy,6238,0.103,0.145,0,0,421
2024-01-15,WEST-01,standard,8048,0.353,0.144,0,0,287
2024-01-15,WEST-01,priority,7157,0.152,0.023,0,0,421
2024-01-15,WEST-01,economy,6947,0.338,0.375,0,0,560
2024-01-16,NORTH-01,standard,6286,0.209,0.138,0,1,376
2024-01-16,NORTH-01,priority,4886,0.193,0.117,0,1,141
2024-01-16,NORTH-01,economy,4557,0.258,0.128,0,1,317
2024-01-16,NORTH-02,standard,6233,0.275,0.164,0,1,514
2024-01-16,NORTH-02,priority,6244,0.37,0.19,0,1,516
2024-01-16,NORTH-02,economy,5527,0.316,0.199,0,1,408
2024-01-16,CENTRAL-01,standard,6625,0.048,0.206,0,1,283
2024-01-16,CENTRAL-01,priority,6954,0.336,0.217,0,1,356
2024-01-16,CENTRAL-01,economy,5909,0.042,0.131,0,1,366
2024-01-16,SOUTH-01,standard,7425,0.316,0.121,0,1,284
2024-01-16,SOUTH-01,priority,6453,0.234,0.15,0,1,345
2024-01-16,SOUTH-01,economy,6933,0.158,0.128,0,1,376
2024-01-16,SOUTH-02,standard,7329,0.151,0.0,0,1,368
2024-01-16,SOUTH-02,priority,7389,0.098,0.261,0,1,556
2024-01-16,SOUTH-02,economy,6586,0.187,0.153,0,1,378
2024-01-16,WEST-01,standard,7082,0.386,0.0,0,1,327
2024-01-16,WEST-01,priority,7942,0.182,0.205,0,1,372
2024-01-16,WEST-01,economy,7126,0.302,0.232,0,1,509
2024-01-17,NORTH-01,standard,5455,0.213,0.105,0,2,356
2024-01-17,NORTH-01,priority,3745,0.18,0.268,0,2,122
2024-01-17,NORTH-01,economy,3992,0.038,0.121,0,2,118
2024-01-17,NORTH-02,standard,6730,0.062,0.081,0,2,598
2024-01-17,NORTH-02,priority,4583,0.131,0.121,0,2,88
2024-01-17,NORTH-02,economy,4315,0.166,0.07,0,2,117
2024-01-17,CENTRAL-01,standard,6358,0.089,0.162,0,2,420
2024-01-17,CENTRAL-01,priority,5379,0.022,0.218,0,2,417
2024-01-17,CENTRAL-01,economy,4598,0.179,0.04,0,2,361
2024-01-17,SOUTH-01,standard,7100,0.254,0.139,0,2,513
2024-01-17,SOUTH-01,priority,6832,0.149,0.21,0,2,620
2024-01-17,SOUTH-01,economy,5961,0.033,0.076,0,2,231
2024-01-17,SOUTH-02,standard,7238,0.021,0.111,0,2,384
2024-01-17,SOUTH-02,priority,6051,0.102,0.096,0,2,255
2024-01-17,SOUTH-02,economy,5883,0.454,0.174,0,2,297
2024-01-17,WEST-01,standard,6232,0.158,0.093,0,2,201
2024-01-17,WEST-01,priority,6250,0.0,0.0,0,2,526
2024-01-17,WEST-01,economy,6464,0.175,0.253,0,2,467
2024-01-18,NORTH-01,standard,5705,0.072,0.192,0,3,281
2024-01-18,NORTH-01,priority,4394,0.247,0.195,0,3,177
2024-01-18,NORTH-01,economy,4283,0.038,0.157,0,3,213
2024-01-18,NORTH-02,standard,5993,0.183,0.196,0,3,546
2024-01-18,NORTH-02,priority,5528,0.333,0.07,0,3,282
2024-01-18,NORTH-02,economy,4160,0.305,0.155,0,3,87
2024-01-18,CENTRAL-01,standard,6378,0.159,0.025,0,3,553
2024-01-18,CENTRAL-01,priority,5300,0.084,0.174,0,3,263
2024-01-18,CENTRAL-01,economy,5512,0.273,0.147,0,3,287
2024-01-18,SOUTH-01,standard,6775,0.3,0.158,0,3,329
2024-01-18,SOUTH-01,priority,5561,0.174,0.141,0,3,426
2024-01-18,SOUTH-01,economy,5933,0.258,0.197,0,3,531
2024-01-18,SOUTH-02,standard,6785,0.135,0.18,0,3,386
2024-01-18,SOUTH-02,priority,6728,0.108,0.28,0,3,355
2024-01-18,SOUTH-02,economy,4566,0.323,0.0,0,3,412
2024-01-18,WEST-01,standard,6860,0.187,0.17,0,3,383
2024-01-18,WEST-01,priority,6716,0.42,0.216,0,3,328
2024-01-18,WEST-01,economy,6122,0.133,0.0,0,3,465
2024-01-19,NORTH-01,standard,4860,0.0,0.097,0,4,209
2024-01-19,NORTH-01,priority,4695,0.186,0.0,0,4,411
2024-01-19,NORTH-01,economy,3431,0.15,0.0,0,4,430
2024-01-19,NORTH-02,standard,5312,0.0,0.122,0,4,435
2024-01-19,NORTH-02,priority,5411,0.099,0.182,0,4,562
2024-01-19,NORTH-02,economy,3876,0.156,0.18,0,4,439
2024-01-19,CENTRAL-01,standard,6127,0.089,0.105,0,4,176
2024-01-19,CENTRAL-01,priority,5685,0.207,0.227,0,4,159
2024-01-19,CENTRAL-01,economy,4169,0.165,0.209,0,4,176
2024-01-19,SOUTH-01,standard,6646,0.285,0.172,0,4,602
2024-01-19,SOUTH-01,priority,7074,0.236,0.203,0,4,366
2024-01-19,SOUTH-01,economy,5614,0.084,0.184,0,4,285
2024-01-19,SOUTH-02,standard,7450,0.056,0.335,0,4,315
2024-01-19,SOUTH-02,priority,6134,0.29,0.141,0,4,431
2024-01-19,SOUTH-02,economy,6708,0.025,0.178,0,4,437
2024-01-19,WEST-01,standard,7218,0.135,0.109,0,4,366
2024-01-19,WEST-01,priority,6185,0.135,0.223,0,4,468
2024-01-19,WEST-01,economy,5766,0.134,0.18,0,4,512
2024-01-20,NORTH-01,standard,4577,0.329,0.227,0,5,416
2024-01-20,NORTH-01,priority,4417,0.229,0.022,0,5,356
2024-01-20,NORTH-01,economy,4092,0.247,0.164,0,5,479
2024-01-20,NORTH-02,standard,5228,0.327,0.0,0,5,317
2024-01-20,NORTH-02,priority,5757,0.0,0.158,0,5,222
2024-01-20,NORTH-02,economy,4031,0.22,0.077,0,5,478
2024-01-20,CENTRAL-01,standard,5431,0.115,0.187,0,5,566
2024-01-20,CENTRAL-01,priority,5650,0.252,0.135,0,5,180
2024-01-20,CENTRAL-01,economy,4626,0.322,0.124,0,5,259
2024-01-20,SOUTH-01,standard,6781,0.11,0.206,0,5,461
2024-01-20,SOUTH-01,priority,5798,0.179,0.191,0,5,621
2024-01-20,SOUTH-01,economy,6164,0.0,0.251,0,5,262
2024-01-20,SOUTH-02,standard,7238,0.448,0.23,0,5,400
2024-01-20,SOUTH-02,priority,6518,0.154,0.133,0,5,543
2024-01-20,SOUTH-02,economy,5967,0.202,0.077,0,5,469
2024-01-20,WEST-01,standard,7292,0.259,0.21,0,5,287
2024-01-20,WEST-01,priority,6811,0.076,0.019,0,5,374
2024-01-20,WEST-01,economy,5498,0.127,0.0,0,5,479
2024-01-21,NORTH-01,standard,4777,0.1,0.179,0,6,495
2024-01-21,NORTH-01,priority,5654,0.163,0.173,0,6,531
2024-01-21,NORTH-01,economy,3850,0.143,0.103,0,6,356
2024-01-21,NORTH-02,standard,6271,0.167,0.118,0,6,354
2024-01-21,NORTH-02,priority,5574,0.456,0.157,0,6,390
2024-01-21,NORTH-02,economy,3908,0.296,0.092,0,6,352
2024-01-21,CENTRAL-01,standard,5470,0.299,0.153,0,6,180
2024-01-21,CENTRAL-01,priority,5516,0.009,0.009,0,6,480
2024-01-21,CENTRAL-01,economy,4607,0.178,0.0,0,6,298
2024-01-21,SOUTH-01,standard,6007,0.432,0.033,0,6,564
2024-01-21,SOUTH-01,priority,5979,0.234,0.195,0,6,398
2024-01-21,SOUTH-01,economy,5507,0.273,0.085,0,6,180
2024-01-21,SOUTH-02,standard,6697,0.219,0.164,0,6,378
2024-01-21,SOUTH-02,priority,6165,0.105,0.064,0,6,232
2024-01-21,SOUTH-02,economy,5882,0.219,0.058,0,6,214
2024-01-21,WEST-01,standard,7958,0.112,0.1,0,6,458
2024-01-21,WEST-01,priority,5971,0.155,0.19,0,6,353
2024-01-21,WEST-01,economy,5989,0.42,0.161,0,6,425
2024-01-22,NORTH-01,standard,5164,0.287,0.0,0,0,360
2024-01-22,NORTH-01,priority,5610,0.094,0.255,0,0,116
2024-01-22,NORTH-01,economy,4766,0.028,0.0,0,0,300
2024-01-22,NORTH-02,standard,7242,0.129,0.236,0,0,376
2024-01-22,NORTH-02,priority,6421,0.0,0.199,0,0,409
2024-01-22,NORTH-02,economy,5966,0.298,0.057,0,0,243
2024-01-22,CENTRAL-01,standard,6374,0.27,0.015,0,0,553
2024-01-22,CENTRAL-01,priority,6606,0.149,0.217,0,0,365
2024-01-22,CENTRAL-01,economy,4856,0.344,0.131,0,0,229
2024-01-22,SOUTH-01,standard,6766,0.246,0.182,0,0,296
2024-01-22,SOUTH-01,priority,6273,0.11,0.121,0,0,292
2024-01-22,SOUTH-01,economy,6700,0.093,0.212,0,0,363
2024-01-22,SOUTH-02,standard,7588,0.133,0.161,0,0,270
2024-01-22,SOUTH-02,priority,6804,0.067,0.099,0,0,403
2024-01-22,SOUTH-02,economy,6407,0.268,0.023,0,0,345
2024-01-22,WEST-01,standard,7656,0.221,0.149,0,0,258
2024-01-22,WEST-01,priority,6854,0.184,0.232,0,0,427
2024-01-22,WEST-01,economy,7152,0.323,0.138,0,0,310
2024-01-23,NORTH-01,standard,5022,0.166,0.02,0,1,443
2024-01-23,NORTH-01,priority,5014,0.062,0.114,0,1,161
2024-01-23,NORTH-01,economy,5020,0.159,0.092,0,1,384
2024-01-23,NORTH-02,standard,7238,0.219,0.169,0,1,269
2024-01-23,NORTH-02,priority,6616,0.173,0.241,0,1,207
2024-01-23,NORTH-02,economy,5729,0.143,0.259,0,1,375
